Source ,a0,a1,a2,rms (%)
B0010+005,2.718,-0.797,,8.1
B0017+154,4.393,-1.251,-2.866,4.9
B0019-000,6.988,-1.68,-28.966,7.6
B0026+346,3.398,-0.791,-15.293,6.5
B0038+328,4.236,-1.097,-6.051,6.9
B0049+175,3.096,-0.947,,9.4
B0106+130,4.562,-1.055,-3.759,6.8
B0109+144,3.324,-1.011,,9.5
B0116+319 ,3.771,-0.885,-12.332,7.5
B0123+329,2.573,-0.645,,8.2
B0124+189,0.877,-0.313,5.137,12.5
B0134+329,4.829,-1.072,-6.011,1.8
B0231+313,5.169,-1.592,-4.369,11.8
B0240-002,3.919,-0.958,-4.638,5.4
B0300+162,2.508,-0.657,,10.2
B0316+162,7.689,-1.754,-29.66,4.8
B0320+053,5.703,-1.466,-14.119,7.2
B0340+048,3.367,-0.916,-0.892,7.2
B0428+205,5.761,-1.276,-26.891,5.7
B0518+165V,3.523,-0.779,-3.732,5.8
B0518+165,4.255,-0.941,-7.669,6
B0521+281,3.362,-0.988,,8.1
B0534+342,2.292,-0.656,,6.1
B0540+187,2.617,-0.729,,10.2
B0640+233,3.769,-1.029,-2.417,6.9
B0732+332,3.243,-0.876,-2.719,9.5
B0824+294,2.941,-0.828,,8.8
B0831+171,3.868,-1.088,-4.081,6.6
B0838+133,2.802,-0.749,,5.7
B0858+292,2.305,-0.641,,8.9
B0932+089,2.873,-0.858,-3.531,9
B0940+029,3.072,-0.88,-4.721,9.2
B0949+287,3.569,-0.992,-7.159,4.2
B1004+130,2.576,-0.795,,12
B1039+029,3.346,-0.885,-3.284,11.8
B1040+123,2.677,-0.672,,10.3
B1140+223,4.475,-1.202,-4.42,5.2
B1153+317,4.941,-1.257,-11.274,8.5
B1312+210,3.3,-0.966,-5.495,7.9
B1317+179,2.342,-0.689,,14.5
B1328+254,3.286,-0.729,-3.532,6.4
B1328+307,3.65,-0.721,-5.088,2.1
B1341+144,2.895,-0.884,,13.9
B1345+125,2.932,-0.633,-4.819,4.7
B1413+349,4.814,-1.176,-20.09,6.4
B1442+101,6.258,-1.477,-28.592,7.4
B1535+139,2.658,-0.774,,8.6
B1545+210,3.468,-0.938,-2.861,4.3
B1602+014,4.047,-1.064,-1.921,6.2
B1607+268,9.909,-2.291,-47.645,9.6
B1615+212,3.647,-1.029,-3.482,10.8
B1622+238,3.565,-0.969,-2.1,5.9
B1634+269,2.932,-0.897,,11.9
B1756+134,3.734,-1.015,-3.902,6.5
B1829+290,3.7,-0.93,-7.453,10
B1843+098,3.17,-0.792,,5.5
B1857+129,3.3,-0.907,,9.5
B1913+302,2.874,-0.774,,8.2
B1939+103,4.279,-1.262,-3.5,11.8
B2018+295,3.087,-0.671,,10.4
B2041+170,2.54,-0.863,,12
B2050+364,7.298,-1.605,-35.36,9.7
B2116+180,2.845,-0.864,,10.3
B2121+248,4.218,-0.967,-2.288,7
B2128+048,6.243,-1.431,-25.809,5.5
B2209+080,2.454,-0.706,,7.5
B2247+140,2.054,-0.531,-1.72,8.9
B2249+185,2.888,-0.805,,7.8
B2325+269,3.553,-1.024,-3.614,7.5
B2329+296,3.88,-1.18,-2.516,12.7
B2337+220,4.116,-1.09,-7.963,6.1
B2338+132,6.936,-1.898,-16.451,9.8
B2353+154,3.914,-1.075,-11.124,5.7
